Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
2/22/2023,1/1/2020,2/18/2023,AK,Aleutians East Borough,2013,Noncore,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Anchorage Municipality,2020,Medium metro,752,7972,
2/22/2023,1/1/2020,2/18/2023,AK,Bethel Census Area,2050,Noncore,40,363,
2/22/2023,1/1/2020,2/18/2023,AK,Denali Borough,2068,Noncore,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Dillingham Census Area,2070,Noncore,,104,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Fairbanks North Star Borough,2090,Small metro,195,1900,
2/22/2023,1/1/2020,2/18/2023,AK,Hoonah-Angoon Census Area,2105,Noncore,,40,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Juneau City and Borough,2110,Micropolitan,18,598,
2/22/2023,1/1/2020,2/18/2023,AK,Kenai Peninsula Borough,2122,Noncore,91,1365,
2/22/2023,1/1/2020,2/18/2023,AK,Ketchikan Gateway Borough,2130,Micropolitan,17,326,
2/22/2023,1/1/2020,2/18/2023,AK,Kodiak Island Borough,2150,Noncore,,210,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Matanuska-Susitna Borough,2170,Medium metro,240,2370,
2/22/2023,1/1/2020,2/18/2023,AK,Nome Census Area,2180,Noncore,,191,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,North Slope Borough,2185,Noncore,,127,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Northwest Arctic Borough,2188,Noncore,10,161,
2/22/2023,1/1/2020,2/18/2023,AK,Petersburg Census Area,2195,Noncore,,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Prince of Wales-Hyder Census Area,2198,Noncore,,143,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Sitka City and Borough,2220,Noncore,10,197,
2/22/2023,1/1/2020,2/18/2023,AK,Skagway Municipality,2230,Noncore,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Southeast Fairbanks Census Area,2240,Noncore,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Valdez-Cordova Census Area,2261,Noncore,,152,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Wade Hampton Census Area,2270,Noncore,,135,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Wrangell City and Borough,2275,Noncore,,68,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AK,Yukon-Koyukuk Census Area,2290,Noncore,,119,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AL,Autauga County,1001,Medium metro,190,1663,
2/22/2023,1/1/2020,2/18/2023,AL,Baldwin County,1003,Small metro,638,7660,
2/22/2023,1/1/2020,2/18/2023,AL,Barbour County,1005,Noncore,79,885,
2/22/2023,1/1/2020,2/18/2023,AL,Bibb County,1007,Large fringe metro,47,611,
2/22/2023,1/1/2020,2/18/2023,AL,Blount County,1009,Large fringe metro,102,1666,
2/22/2023,1/1/2020,2/18/2023,AL,Bullock County,1011,Noncore,,301,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AL,Butler County,1013,Noncore,82,808,
2/22/2023,1/1/2020,2/18/2023,AL,Calhoun County,1015,Small metro,653,5352,
2/22/2023,1/1/2020,2/18/2023,AL,Chambers County,1017,Micropolitan,57,1087,
2/22/2023,1/1/2020,2/18/2023,AL,Cherokee County,1019,Noncore,44,863,
2/22/2023,1/1/2020,2/18/2023,AL,Chilton County,1021,Large fringe metro,76,1260,
2/22/2023,1/1/2020,2/18/2023,AL,Choctaw County,1023,Noncore,27,408,
2/22/2023,1/1/2020,2/18/2023,AL,Clarke County,1025,Noncore,37,853,
2/22/2023,1/1/2020,2/18/2023,AL,Clay County,1027,Noncore,56,591,
2/22/2023,1/1/2020,2/18/2023,AL,Cleburne County,1029,Noncore,28,464,
2/22/2023,1/1/2020,2/18/2023,AL,Coffee County,1031,Micropolitan,196,1684,
2/22/2023,1/1/2020,2/18/2023,AL,Colbert County,1033,Small metro,335,2389,
2/22/2023,1/1/2020,2/18/2023,AL,Conecuh County,1035,Noncore,41,435,
2/22/2023,1/1/2020,2/18/2023,AL,Coosa County,1037,Micropolitan,11,286,
2/22/2023,1/1/2020,2/18/2023,AL,Covington County,1039,Noncore,257,1857,
2/22/2023,1/1/2020,2/18/2023,AL,Crenshaw County,1041,Noncore,64,579,
2/22/2023,1/1/2020,2/18/2023,AL,Cullman County,1043,Micropolitan,410,3686,
2/22/2023,1/1/2020,2/18/2023,AL,Dale County,1045,Micropolitan,141,1455,
2/22/2023,1/1/2020,2/18/2023,AL,Dallas County,1047,Micropolitan,207,1630,
2/22/2023,1/1/2020,2/18/2023,AL,DeKalb County,1049,Noncore,207,2478,
2/22/2023,1/1/2020,2/18/2023,AL,Elmore County,1051,Medium metro,96,2159,
2/22/2023,1/1/2020,2/18/2023,AL,Escambia County,1053,Noncore,156,1370,
2/22/2023,1/1/2020,2/18/2023,AL,Etowah County,1055,Small metro,755,5565,
2/22/2023,1/1/2020,2/18/2023,AL,Fayette County,1057,Noncore,46,556,
2/22/2023,1/1/2020,2/18/2023,AL,Franklin County,1059,Noncore,71,1050,
2/22/2023,1/1/2020,2/18/2023,AL,Geneva County,1061,Small metro,100,1081,
2/22/2023,1/1/2020,2/18/2023,AL,Greene County,1063,Noncore,,238,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AL,Hale County,1065,Small metro,30,472,
2/22/2023,1/1/2020,2/18/2023,AL,Henry County,1067,Small metro,10,461,
2/22/2023,1/1/2020,2/18/2023,AL,Houston County,1069,Small metro,1052,6865,
2/22/2023,1/1/2020,2/18/2023,AL,Jackson County,1071,Micropolitan,162,2113,
2/22/2023,1/1/2020,2/18/2023,AL,Jefferson County,1073,Large central metro,3897,35740,
2/22/2023,1/1/2020,2/18/2023,AL,Lamar County,1075,Noncore,21,404,
2/22/2023,1/1/2020,2/18/2023,AL,Lauderdale County,1077,Small metro,508,4873,
2/22/2023,1/1/2020,2/18/2023,AL,Lawrence County,1079,Small metro,75,1073,
2/22/2023,1/1/2020,2/18/2023,AL,Lee County,1081,Small metro,581,4402,
2/22/2023,1/1/2020,2/18/2023,AL,Limestone County,1083,Medium metro,249,2802,
2/22/2023,1/1/2020,2/18/2023,AL,Lowndes County,1085,Medium metro,14,295,
2/22/2023,1/1/2020,2/18/2023,AL,Macon County,1087,Noncore,16,466,
2/22/2023,1/1/2020,2/18/2023,AL,Madison County,1089,Medium metro,1485,14801,
2/22/2023,1/1/2020,2/18/2023,AL,Marengo County,1091,Noncore,124,864,
2/22/2023,1/1/2020,2/18/2023,AL,Marion County,1093,Noncore,125,1226,
2/22/2023,1/1/2020,2/18/2023,AL,Marshall County,1095,Micropolitan,395,4172,
2/22/2023,1/1/2020,2/18/2023,AL,Mobile County,1097,Medium metro,1990,18403,
2/22/2023,1/1/2020,2/18/2023,AL,Monroe County,1099,Noncore,67,785,
2/22/2023,1/1/2020,2/18/2023,AL,Montgomery County,1101,Medium metro,1537,10607,
2/22/2023,1/1/2020,2/18/2023,AL,Morgan County,1103,Small metro,466,4561,
2/22/2023,1/1/2020,2/18/2023,AL,Perry County,1105,Noncore,17,255,
2/22/2023,1/1/2020,2/18/2023,AL,Pickens County,1107,Small metro,51,540,
2/22/2023,1/1/2020,2/18/2023,AL,Pike County,1109,Micropolitan,111,998,
2/22/2023,1/1/2020,2/18/2023,AL,Randolph County,1111,Noncore,27,695,
2/22/2023,1/1/2020,2/18/2023,AL,Russell County,1113,Medium metro,113,1339,
2/22/2023,1/1/2020,2/18/2023,AL,St. Clair County,1115,Large fringe metro,185,2715,
2/22/2023,1/1/2020,2/18/2023,AL,Shelby County,1117,Large fringe metro,327,4707,
2/22/2023,1/1/2020,2/18/2023,AL,Sumter County,1119,Noncore,19,352,
2/22/2023,1/1/2020,2/18/2023,AL,Talladega County,1121,Micropolitan,294,2964,
2/22/2023,1/1/2020,2/18/2023,AL,Tallapoosa County,1123,Noncore,177,1861,
2/22/2023,1/1/2020,2/18/2023,AL,Tuscaloosa County,1125,Small metro,1089,7846,
2/22/2023,1/1/2020,2/18/2023,AL,Walker County,1127,Large fringe metro,363,3253,
2/22/2023,1/1/2020,2/18/2023,AL,Washington County,1129,Noncore,22,446,
2/22/2023,1/1/2020,2/18/2023,AL,Wilcox County,1131,Noncore,14,300,
2/22/2023,1/1/2020,2/18/2023,AL,Winston County,1133,Noncore,69,878,
2/22/2023,1/1/2020,2/18/2023,AR,Arkansas County,5001,Noncore,33,718,
2/22/2023,1/1/2020,2/18/2023,AR,Ashley County,5003,Noncore,27,672,
2/22/2023,1/1/2020,2/18/2023,AR,Baxter County,5005,Micropolitan,377,3137,
2/22/2023,1/1/2020,2/18/2023,AR,Benton County,5007,Medium metro,1064,7087,
2/22/2023,1/1/2020,2/18/2023,AR,Boone County,5009,Micropolitan,161,1558,
2/22/2023,1/1/2020,2/18/2023,AR,Bradley County,5011,Noncore,30,326,
2/22/2023,1/1/2020,2/18/2023,AR,Calhoun County,5013,Micropolitan,,113,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AR,Carroll County,5015,Noncore,34,725,
2/22/2023,1/1/2020,2/18/2023,AR,Chicot County,5017,Noncore,31,397,
2/22/2023,1/1/2020,2/18/2023,AR,Clark County,5019,Micropolitan,40,685,
2/22/2023,1/1/2020,2/18/2023,AR,Clay County,5021,Noncore,49,581,
2/22/2023,1/1/2020,2/18/2023,AR,Cleburne County,5023,Noncore,64,904,
2/22/2023,1/1/2020,2/18/2023,AR,Cleveland County,5025,Small metro,12,238,
2/22/2023,1/1/2020,2/18/2023,AR,Columbia County,5027,Micropolitan,94,849,
2/22/2023,1/1/2020,2/18/2023,AR,Conway County,5029,Noncore,18,598,
2/22/2023,1/1/2020,2/18/2023,AR,Craighead County,5031,Small metro,1135,7438,
2/22/2023,1/1/2020,2/18/2023,AR,Crawford County,5033,Medium metro,89,1535,
2/22/2023,1/1/2020,2/18/2023,AR,Crittenden County,5035,Large fringe metro,68,1200,
2/22/2023,1/1/2020,2/18/2023,AR,Cross County,5037,Noncore,47,563,
2/22/2023,1/1/2020,2/18/2023,AR,Dallas County,5039,Noncore,29,284,
2/22/2023,1/1/2020,2/18/2023,AR,Desha County,5041,Noncore,18,351,
2/22/2023,1/1/2020,2/18/2023,AR,Drew County,5043,Noncore,35,633,
2/22/2023,1/1/2020,2/18/2023,AR,Faulkner County,5045,Medium metro,480,3939,
2/22/2023,1/1/2020,2/18/2023,AR,Franklin County,5047,Noncore,34,566,
2/22/2023,1/1/2020,2/18/2023,AR,Fulton County,5049,Noncore,59,597,
2/22/2023,1/1/2020,2/18/2023,AR,Garland County,5051,Small metro,770,6487,
2/22/2023,1/1/2020,2/18/2023,AR,Grant County,5053,Medium metro,19,468,
2/22/2023,1/1/2020,2/18/2023,AR,Greene County,5055,Micropolitan,90,1342,
2/22/2023,1/1/2020,2/18/2023,AR,Hempstead County,5057,Noncore,43,601,
2/22/2023,1/1/2020,2/18/2023,AR,Hot Spring County,5059,Micropolitan,40,978,
2/22/2023,1/1/2020,2/18/2023,AR,Howard County,5061,Noncore,41,487,
2/22/2023,1/1/2020,2/18/2023,AR,Independence County,5063,Micropolitan,332,2031,
2/22/2023,1/1/2020,2/18/2023,AR,Izard County,5065,Noncore,32,497,
2/22/2023,1/1/2020,2/18/2023,AR,Jackson County,5067,Noncore,26,555,
2/22/2023,1/1/2020,2/18/2023,AR,Jefferson County,5069,Small metro,298,2891,
2/22/2023,1/1/2020,2/18/2023,AR,Johnson County,5071,Noncore,58,744,
2/22/2023,1/1/2020,2/18/2023,AR,Lafayette County,5073,Noncore,,181,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AR,Lawrence County,5075,Noncore,30,447,
2/22/2023,1/1/2020,2/18/2023,AR,Lee County,5077,Noncore,16,258,
2/22/2023,1/1/2020,2/18/2023,AR,Lincoln County,5079,Small metro,17,309,
2/22/2023,1/1/2020,2/18/2023,AR,Little River County,5081,Small metro,48,436,
2/22/2023,1/1/2020,2/18/2023,AR,Logan County,5083,Noncore,45,714,
2/22/2023,1/1/2020,2/18/2023,AR,Lonoke County,5085,Medium metro,61,1514,
2/22/2023,1/1/2020,2/18/2023,AR,Madison County,5087,Medium metro,13,391,
2/22/2023,1/1/2020,2/18/2023,AR,Marion County,5089,Noncore,34,639,
2/22/2023,1/1/2020,2/18/2023,AR,Miller County,5091,Small metro,46,1038,
2/22/2023,1/1/2020,2/18/2023,AR,Mississippi County,5093,Micropolitan,78,1218,
2/22/2023,1/1/2020,2/18/2023,AR,Monroe County,5095,Noncore,,199,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AR,Montgomery County,5097,Noncore,23,300,
2/22/2023,1/1/2020,2/18/2023,AR,Nevada County,5099,Noncore,15,243,
2/22/2023,1/1/2020,2/18/2023,AR,Newton County,5101,Micropolitan,24,254,
2/22/2023,1/1/2020,2/18/2023,AR,Ouachita County,5103,Micropolitan,92,943,
2/22/2023,1/1/2020,2/18/2023,AR,Perry County,5105,Medium metro,,251,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AR,Phillips County,5107,Micropolitan,44,564,
2/22/2023,1/1/2020,2/18/2023,AR,Pike County,5109,Noncore,14,301,
2/22/2023,1/1/2020,2/18/2023,AR,Poinsett County,5111,Small metro,19,505,
2/22/2023,1/1/2020,2/18/2023,AR,Polk County,5113,Noncore,114,762,
2/22/2023,1/1/2020,2/18/2023,AR,Pope County,5115,Micropolitan,160,2189,
2/22/2023,1/1/2020,2/18/2023,AR,Prairie County,5117,Noncore,10,266,
2/22/2023,1/1/2020,2/18/2023,AR,Pulaski County,5119,Medium metro,2508,23096,
2/22/2023,1/1/2020,2/18/2023,AR,Randolph County,5121,Noncore,44,548,
2/22/2023,1/1/2020,2/18/2023,AR,St. Francis County,5123,Micropolitan,40,654,
2/22/2023,1/1/2020,2/18/2023,AR,Saline County,5125,Medium metro,265,3395,
2/22/2023,1/1/2020,2/18/2023,AR,Scott County,5127,Noncore,26,415,
2/22/2023,1/1/2020,2/18/2023,AR,Searcy County,5129,Noncore,21,294,
2/22/2023,1/1/2020,2/18/2023,AR,Sebastian County,5131,Medium metro,1101,8047,
2/22/2023,1/1/2020,2/18/2023,AR,Sevier County,5133,Noncore,13,350,
2/22/2023,1/1/2020,2/18/2023,AR,Sharp County,5135,Noncore,28,632,
2/22/2023,1/1/2020,2/18/2023,AR,Stone County,5137,Noncore,33,503,
2/22/2023,1/1/2020,2/18/2023,AR,Union County,5139,Micropolitan,177,1750,
2/22/2023,1/1/2020,2/18/2023,AR,Van Buren County,5141,Noncore,18,634,
2/22/2023,1/1/2020,2/18/2023,AR,Washington County,5143,Medium metro,899,8267,
2/22/2023,1/1/2020,2/18/2023,AR,White County,5145,Micropolitan,408,3397,
2/22/2023,1/1/2020,2/18/2023,AR,Woodruff County,5147,Noncore,,206,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AR,Yell County,5149,Micropolitan,43,600,
2/22/2023,1/1/2020,2/18/2023,AZ,Apache County,4001,Noncore,168,1789,
2/22/2023,1/1/2020,2/18/2023,AZ,Cochise County,4003,Small metro,288,3817,
2/22/2023,1/1/2020,2/18/2023,AZ,Coconino County,4005,Small metro,489,4100,
2/22/2023,1/1/2020,2/18/2023,AZ,Gila County,4007,Micropolitan,252,2439,
2/22/2023,1/1/2020,2/18/2023,AZ,Graham County,4009,Micropolitan,120,1130,
2/22/2023,1/1/2020,2/18/2023,AZ,Greenlee County,4011,Noncore,,151,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
2/22/2023,1/1/2020,2/18/2023,AZ,La Paz County,4012,Noncore,48,843,
2/22/2023,1/1/2020,2/18/2023,AZ,Maricopa County,4013,Large central metro,18657,142874,
2/22/2023,1/1/2020,2/18/2023,AZ,Mohave County,4015,Small metro,1328,12224,
2/22/2023,1/1/2020,2/18/2023,AZ,Navajo County,4017,Micropolitan,426,3709,
2/22/2023,1/1/2020,2/18/2023,AZ,Pima County,4019,Medium metro,4742,41749,
2/22/2023,1/1/2020,2/18/2023,AZ,Pinal County,4021,Large fringe metro,743,9188,
2/22/2023,1/1/2020,2/18/2023,AZ,Santa Cruz County,4023,Micropolitan,36,765,
2/22/2023,1/1/2020,2/18/2023,AZ,Yavapai County,4025,Small metro,1097,11122,
2/22/2023,1/1/2020,2/18/2023,AZ,Yuma County,4027,Small metro,1166,6775,
